Nodes,Groups,Reduction
16,2,-33.33
16,2,0
200,7,15.67
6,3,-18.18
6,2,57.14
4,2,0
256,3,4.03
16,2,0
16,2,-33.33
10,2,22.22
4,2,0
8,2,0
8,2,-50.00
4,2,0
16,5,-16.66
32,6,-1.78
16,2,-125.00
4,3,0
64,13,18.36
16,6,10.71
8,3,-12.50
64,14,16.58
9,3,-6.66
4,2,0
8,3,-10.00
32,10,18.96
64,3,17.84
4,2,0
16,4,10.52
9,6,0
4,3,0
16,6,19.51
10,4,2.63
8,3,0
24,6,25.00
9,2,0
8,2,-50.00
32,6,19.14
32,2,0
192,19,24.92
64,11,20.80
9,2,0
4,2,0
6,2,57.14
6,3,-18.18
6,3,28.57
6,2,57.14
6,2,22.22
6,2,57.14
6,2,22.22
6,4,-15.38
6,2,57.14
6,2,57.14
6,3,-22.22
6,3,28.57
6,2,57.14
6,3,15.38
6,4,25.00
6,3,-22.22
6,3,28.57
6,3,28.57
6,2,57.14
6,2,57.14
6,3,45.00
32,3,6.32
32,3,0
32,9,15.67
4,2,0
4,3,0
4,3,0
64,11,10.40
64,6,21.84
9,3,0
64,10,23.53
64,10,23.05
64,9,17.64
64,16,12.50
64,6,28.28
24,6,-9.09
4,3,0
12,4,28.57
4,3,0
32,7,9.65
16,2,0
512,6,1.36
4,2,0
64,4,16.16
9,2,0
24,2,1.85
24,2,21.42
9,3,-7.69
8,3,-10.00
8,4,18.75
8,2,0
8,3,13.33
64,6,25.96
4,3,0
4,3,0
4,2,0
64,2,-26.66
284,4,22.48
4,2,0
4,2,0
8,2,-50.00
16,2,0
4,3,0
32,3,20.00
8,2,0
512,20,26.73
4,2,0
80,4,11.30
512,22,18.39
24,9,1.13
24,10,.96
32,6,19.10
32,5,-5.26
